a,একটি
acquiesced,মৌনসন্মতি দেত্তয়া
acquiescence,মৌনসন্মতি
acquiescences,অনুমতি
acquiescent,মৌনসন্মতিপূর্ণ
acquiesces,সনের
acquiescing,মৌনসন্মতি দেত্তয়া
acquirable,অধিগম্য
acquire,অর্জন করা
acquired,অর্জিত
acquired habit,অভ্যাস
acquirement,লব্ধি
acquirements,বিদ্যা
acquires,অর্জন করা
acquiring,অর্জন
acquisition,অর্জন
acquisitions,অধিগ্রহণ
acquisitive,অর্জনক্ষম
acquit,বেকসুর খালাস দেওয়া
acquite,"বেকসুর খালাস দেওয়া
acquits,বেকসুর খালাস দেত্তয়া
acquittal,বেকসুর খালাস
acquittals,বেকসুর খালাস
acquittance,প্রাপ্তিসূচক রসিদ
acquitted,খালাসী
acquitting,বেকসুর খালাস দেত্তয়া
acre,একর
acreage,মোট খেতের পরিমাণ
acreages,মোট ভূসম্পত্তির পরিমাণ
acred,একর
acres,জমি
acrid,কটু
acridities,ধার
acridity,ঝাঁজ
acrimonies,মেজাজ আচরণ ভাষা প্রভৃতির রুক্ষতা
acrimonious,বদমেজাজি
acrimony,মেজাজের রুক্ষতা
acriomony,বদমেজাজ
acrobat,মল্ল
acrobatic,মত পরিবর্তন করে এমন
acrobatic feat,কসরত
acrobatics,দড়াবাজি
acrobats,দড়াবাজিকর
acroboat,"দড়বাজিকর
acronym,অন্য শব্দের আদ্যক্ষর দ্বারা গঠিত শব্দ
acronyms,আদ্যক্ষরসমস্টি
acropetal,"মূলদেশ হতে ক্রমশঃ ঊর্ধ্বদিকে বৃদ্ধিশীল
acrophobia,উচ্চতা সম্পর্কে ভীষণ ভীতি
acrophobias,উচ্চতা সম্পর্কে ভীষণ আতঙক
acropolis,গ্রীসের নগরদুর্গ
acropolises,গ্রীসের নগরদুর্গ
across,আড়াআড়ি
acrostic,চিত্র করা
acrostics,ছন্দোবন্ধ ধাঁধাবিশেষ
acrylamide,বিকালে জুডিশিয়াল ম্যাজিস্ট্রেট
acrylic,এক্রাইলিক
acrylics,এক্রাইলিক
act,আইন
act foolishly,মূর্খের ন্যায় আচরণ করা
act of,কাজ
act of god,বিধির বিধান
act of teaching,অধ্যাপনা
act up,কলহ করা
acta,অ্যাক্টা
acted,অভিনীত
acting,অভিনয়
actings,অভিনয়
actinic,বিকারক
actinides,অ্যাকটিনাইডস
actinism,বিকারক ধর্ম
actinium,তেজস্ক্রিয় মৌল
actinomycetes,অ্যাক্টিনোমাইসিটিস
action,কর্ম
action of law,ফরিয়াদ
actionable,অভিযোগ্য
actioned,ক্রিয়া
actioner,ক্রিয়া
actioners,কাজেও
actioning,ক্রিয়া
actions,কর্ম
activate,সক্রিয় করা
activated,সক্রিয়
activates,অনাদিকাল
activating,সক্রিয়
activation,সক্রিয়করণ
activations,সক্রিয়করণব্যবস্থা
active,সক্রিয়
actively,সক্রিয়ভাবে
activeness,যেগুলো নিয়ে
actives,সক্রিয়
activism,সক্রিয়তাবাদ
activist,সক্রিয় কর্মী
activists,কর্মী
activities,ক্রিয়াকলাপ
activity,কার্যকলাপ
activize,উদ্যত করা
actor,অভিনেতা
actors,অভিনেতা
actress,অভিনেত্রী
actresses,অভিনেত্রী
acts,ঘটনা
acts and deeds,কার্যকলাপ
actual,আসল
actualisation,বাস্তবায়ন
actualise,বাস্তবে পরিণত করা
actualised,বাস্তবে পরিণত করা
actualises,বাস্তবে পরিণত করা
actualising,চাদর আসবে
actualist,"বাস্তববাদী"""
actualite,Actualité
actualites,Actualités
actualities,সত্য
actuality,বাস্তবতা
actualization,বাস্তবায়ন
actualize,বাস্তবে পরিণত করা
actualized,বাস্তবে পরিণত করা
actualizes,বাস্তবে পরিণত করা
actualizing,কাজটি
actually,প্রকৃতপক্ষে
actuals,? বরং
actuarial,বিমার
actuarially,কণ্ঠ্য দড়াদড়ি
actuaries,বিমা-পরতালক
actuary,বিমা - গাণনিক
actuate,সক্রিয় করা
actuated,সক্রিয় করা
actuates,সক্রিয় করা
actuating,সক্রিয় করা
acuities,তীক্ষ্নতা
acuity,তীক্ষ্নতা
aculeate,"কাঁটার ন্যায় বিদ্ধ করা এমন
aculei,যাও মৌমাছি কাঁটা ফোটা
acumen,অন্তর্দৃষ্টি
acumens,সূক্ষ্ম বিচারশক্তি
acuminate,শান দেত্তয়া
acuminated,দীর্ঘাগ্র
acuminates,শান দেত্তয়া
acuminating,শান দেত্তয়া
acupuncture,আকুপাংচার
acupunctures,চিকিত্সার্থে মানবদেহের কলাসমূহ সূক্ষ্ম সুচি দ্বারা বিদ্ধকরণ
acute,তীব্র
acutely,কঠোরভাবে
acuteness,সূক্ষ্মদর্শিতা
acuter,তীক্ষ্ণ
acutes,তীক্ষ্ণ
acutest,তীব্র
acyclovir,সূরা
ad,বিজ্ঞাপন
ad interim,আপাতত
ad lib,চটজলদি
ad measurement,পরিমাপ
ad verbum,হুবহু
ad-hoc,অ্যাড
adage,প্রবচন
adages,প্রবাদবাক্য
adagio,ঢিমা
adagios,ঢিমা তাল
adam,"বাইবেল অনুসারে প্রথম বা আদি নর
adam's ale,জল
adam's ale or wine,জল
adam's apple,কণ্ঠা
adam's wine,জল
adamance,মনের দুয়ার
adamant,হীরক
adamantine,অভেদ্য
adamantly,কঠোরভাবে
adamants,হীরক
adamite,দিগম্বর
adapatation,অভিযোজন
adapt,খাপ খাওয়ানো
adaptabilities,উপযোগীকরণ
adaptability,উপযোগীকরণ
adaptable,অভিযোজ্য
adaptation,অভিযোজন
adaptations,অভিযোজনের
adapted,অভিযোজিত
adapter,এডাপটার
adapters,অ্যাডাপ্টার
adapting,অভিযোজিত
adaption,ধারনের ধরন
adaptive,অভিযোজিত
adaptively,পংক্তি বা কোন int
adaptiveness,হঠাত্ বিষণ্ন
adaptor,এডাপটার
adaptors,অ্যাডাপ্টার
adapts,আত্তীকরণ
add,যোগ করা
add up,মোট দেত্তয়া
addax,উত্তর আফ্রিকার বাঁকা শিংওয়ালা বৃহত্ কৃষ্ণসার হরিণ
added,যোগ
addenda,অভিযোজ্য বস্তু
addendum,সংযোজন
addendums,এডেনডামস
adder,যোজক
adders,পরিশিষ্ট
addict,উপসেবক
addicted,আসক্ত
addicting,ভালবাসা
addiction,ঝোঁক
addictions,আসক্তিসমূহ
addictive,আসক্তি
addicts,আসক্ত
adding,যোগ
addition,উপরন্তু
additional,অতিরিক্ত
additionality,উপর অতিরিক্ত
additionally,উপরন্তু
additions,সংযোজন
additions and alterations,রদবদল
additive,যোজনীয়
additives,বিশেষ উদ্দেশ্যে সংযোজনের বস্তু
addle,ঘোলা
addle-brained,স্থূলবুদ্ধি
addle-head,স্থূলবুদ্ধি ব্যক্তি
addle-headed,স্থূলবুদ্ধি
addle-pated,স্থূলবুদ্ধি
addled,ঘোলা
addlement,বিশৃঙ্খলা
addles,ঘোলা করা
addling,ঘোলা করা
address,ঠিকানা
addressbook,ঠিকানা বই
addressed,উদ্দেশ্য
addressee,পত্রের প্রাপক
addressees,পত্রের প্রাপক
addresser,আহ্বায়ক
